20230216 14:34:01 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java56 - started testscript nameerrorLoginEmptyPassword
20230216 14:34:03 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java129 - going to th url = https://login.salesforce.com
20230216 14:34:04 INFO  [main] SalesForceTests.SFDCLoginTests SFDCLoginTests.java22 - inside logintoFirebase method
20230216 14:34:05 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java56 - started testscript nameerrorLoginWrongInputs
20230216 14:34:07 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java129 - going to th url = https://login.salesforce.com
20230216 14:34:33 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java129 - going to th url = https://login.salesforce.com
20230216 14:34:56 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java212 - closing the browser
20230216 14:35:16 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java56 - started testscript namelogin
20230216 14:35:18 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java129 - going to th url = https://login.salesforce.com
20230216 14:39:27 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java56 - started testscript namelogin
20230216 14:39:29 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java129 - going to th url = https://login.salesforce.com
20230216 14:51:30 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript namelogin
20230216 14:51:33 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 15:20:08 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript namerememberUserNameCheck
20230216 15:20:10 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 15:20:32 INFO  [main] SalesForceTests.SFDCLoginTests SFDCLoginTests.java57 - inside logintoFirebase method
20230216 15:33:14 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript nameerrorLoginEmptyPassword
20230216 15:33:16 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 15:33:44 INFO  [main] SalesForceTests.SFDCLoginTests SFDCLoginTests.java16 - inside logintoFirebase method
20230216 15:33:45 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript nameerrorLoginWrongInputs
20230216 15:33:47 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 15:33:50 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 15:39:26 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript namerememberUserNameCheck
20230216 15:39:29 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 15:39:50 INFO  [main] SalesForceTests.SFDCLoginTests SFDCLoginTests.java57 - inside logintoFirebase method
20230216 15:42:15 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript namerememberUserNameCheck
20230216 15:42:18 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 15:42:39 INFO  [main] SalesForceTests.SFDCLoginTests SFDCLoginTests.java57 - inside logintoFirebase method
20230216 15:43:32 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript nameerrorLoginEmptyPassword
20230216 15:43:35 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 15:43:44 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript namerememberUserNameCheck
20230216 15:43:47 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 15:44:08 INFO  [main] SalesForceTests.SFDCLoginTests SFDCLoginTests.java57 - inside logintoFirebase method
20230216 15:45:50 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript namerememberUserNameCheck
20230216 15:45:53 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 15:46:14 INFO  [main] SalesForceTests.SFDCLoginTests SFDCLoginTests.java57 - inside logintoFirebase method
20230216 15:49:16 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript namerememberUserNameCheck
20230216 15:49:19 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 15:49:40 INFO  [main] SalesForceTests.SFDCLoginTests SFDCLoginTests.java57 - inside logintoFirebase method
20230216 15:52:08 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript namerememberUserNameCheck
20230216 15:52:12 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 15:52:33 INFO  [main] SalesForceTests.SFDCLoginTests SFDCLoginTests.java57 - inside logintoFirebase method
20230216 15:59:52 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript nameforgotPasswordCheck
20230216 15:59:55 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 16:00:16 INFO  [main] SalesForceTests.SFDCLoginTests SFDCLoginTests.java100 - inside logintoFirebase method
20230216 16:00:43 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript nameforgotPasswordCheck
20230216 16:00:45 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 16:01:53 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript nameforgotPasswordCheck
20230216 16:01:56 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 16:02:19 INFO  [main] SalesForceTests.SFDCLoginTests SFDCLoginTests.java100 - inside logintoFirebase method
20230216 16:18:32 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript nameforgotPasswordCheck
20230216 16:18:35 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 16:18:57 INFO  [main] SalesForceTests.SFDCLoginTests SFDCLoginTests.java100 - inside logintoFirebase method
20230216 16:21:08 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript nameerrorLoginWrongInputs
20230216 16:21:10 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 16:22:20 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript nameerrorLoginWrongInputs
20230216 16:22:22 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 16:22:44 INFO  [main] SalesForceTests.SFDCLoginTests SFDCLoginTests.java124 - inside logintoFirebase method
20230216 16:24:05 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript namegoButton
20230216 16:24:08 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 16:24:31 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 16:25:19 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java220 - closing the browser
20230216 16:25:19 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript namecreateNewOpty
20230216 16:25:21 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 16:25:45 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
20230216 16:26:31 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java220 - closing the browser
20230216 16:26:31 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java57 - started testscript nameerrorLoginEmptyPassword
20230216 16:26:33 INFO  [main] salesForceHelperTest.SalesForceHepler SalesForceHepler.java130 - going to th url = https://login.salesforce.com
